Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6847,2020-10-02 23:32:04Z,Cl_12_11,25,202.8853,432.441,2290.324,12617.14,5527.821,15480.27,937.9845,3185.442,3035.463,608.4391,7898.167,102.8627,9357.537,96.3935,11199.94,93.90894,16500.85,79.26218,3273.032,63.15949,1348.667,381.4042,1331.506,189.5809,305.1176,680.454,305.2707,925.7938,1159.977,929.3788,662.7033,841.8123,199.2684,298.2514,182.9568,248.1594
6848,2020-10-02 23:32:25Z,Cl_12_11,26,220.0305,449.5862,2252.452,12541.4,5021.162,14332.63,896.0579,2944.608,2856.214,542.7984,7297.11,95.18638,7846.554,77.97437,10175,76.62508,14637.08,69.35442,2510.222,46.02319,1288.156,382.3211,1264.908,196.6846,235.7347,537.5085,266.1761,886.6992,1100.58,884.8316,670.5393,811.5876,196.0124,289.7857,174.1982,224.8032
6849,2020-10-02 23:32:47Z,Cl_12_11,27,194.3127,422.9159,2257.186,11954.38,5096.223,13512.89,899.9581,3034.312,2999.277,579.8265,7631.03,98.2569,8454.999,80.43024,10965.45,87.57152,16885.05,79.26218,3274.501,62.66988,1191.888,385.9884,1257.361,180.7012,275.0238,690.4853,286.1393,907.4942,1119.797,893.5663,676.1365,734.3469,197.966,289.1346,184.9031,213.1252
6850,2020-10-02 23:33:05Z,Cl_12_11,28,198.1228,421.0108,2218.367,12169.3,5377.7,14103.5,878.5073,2917.307,2900.816,558.7878,7788.395,97.48927,7885.234,79.81628,10329.41,82.96249,16001.05,75.95959,2962.131,54.83614,1214.809,385.0716,1201.863,186.473,259.141,632.8055,277.8213,928.2892,1102.327,968.6853,654.8673,776.8853,191.4539,321.6947,178.0909,226.7496
6851,2020-10-02 23:33:23Z,Cl_12_11,29,200.9803,438.1561,2299.792,12614.3,5396.465,13521.78,905.8083,3162.041,3020.315,601.7067,7855.179,99.79217,8710.411,77.36039,10967.76,86.99539,16203.61,77.06046,3174.132,59.24262,1314.744,380.4874,1283.112,178.9253,288.3988,648.6884,296.1209,924.1302,1158.23,948.5953,659.345,789.199,197.966,316.4851,182.9568,217.0179
6852,2020-10-02 23:35:27Z,Cl_12_11,30,195.2652,447.6812,2219.314,12953.26,4830.547,13257.09,905.8083,3189.342,3006.009,605.9145,7333.957,99.79217,7478.785,71.22068,9992.371,80.08185,16529.47,78.16132,3163.85,55.81536,1307.41,384.1548,1125.942,161.6099,296.7582,658.7197,299.4481,932.4482,1171.332,976.5466,658.2256,822.782,188.1979,292.3906,181.0104,205.3398
6853,2020-10-02 23:35:51Z,Cl_12_11,31,193.3602,415.2958,2144.516,12251.67,4784.128,16068.9,931.1592,3129.865,2974.872,600.0237,7244.912,102.0951,8612.79,96.3935,10705.62,93.90894,16565.8,80.36305,3270.095,64.1387,1334.915,376.82,1233.83,192.6888,310.9692,698.0087,306.1025,934.1118,1165.218,968.6853,645.9119,774.6464,196.0124,319.7411,178.0909,231.6155
6854,2020-10-02 23:36:07Z,Cl_12_11,32,205.7429,425.7734,2310.207,12185.4,5490.291,16246.68,981.8611,3275.146,3082.59,613.4884,7896.631,102.8627,8354.922,100.6913,10573.11,92.18055,16063.8,75.95959,3197.633,63.15949,1414.68,366.7348,1236.493,188.2489,316.8207,645.3446,311.0933,900.8398,1156.483,920.6441,652.6284,728.7498,197.3148,283.9249,178.0909,213.1252
6855,2020-10-02 23:36:28Z,Cl_12_11,33,186.6926,423.8684,2190.91,12511.1,5005.36,15483.23,888.2576,3185.442,2942.052,607.5976,7485.18,104.398,8373.341,98.23542,10514.34,96.21345,16592.22,79.26218,3228.968,65.11792,1313.828,384.1548,1216.958,191.3568,308.4614,687.1415,303.6071,934.9436,1162.597,984.4079,657.1061,818.3043,194.0588,293.693,175.1714,239.4009
6856,2020-10-02 23:36:45Z,Cl_12_11,34,217.173,474.3516,2373.643,13895.33,5571.277,17823.94,944.8098,3241.019,3027.048,607.5976,7767.669,105.1656,7982.855,92.0957,9955.499,85.84313,15332.83,75.95959,2628.218,53.36732,1419.264,398.8241,1216.07,204.2323,271.6801,592.6805,291.9619,929.9528,1170.458,992.2692,688.4502,816.0654,194.0588,329.5092,170.3055,228.6959
6857,2020-10-02 23:37:26Z,Cl_12_11,35,216.2205,470.5415,2298.845,13072.55,5059.68,14008.69,916.5337,3106.464,2974.872,588.242,7522.794,97.48927,7597.282,78.58833,10093.19,80.65798,15728.04,75.95959,2740.338,52.3881,1289.99,402.4915,1190.763,192.6888,247.4378,609.3993,280.3167,926.6256,1151.242,959.0771,694.0474,813.8265,193.4076,317.7875,181.0104,226.7496
6858,2020-10-02 23:37:44Z,Cl_12_11,36,208.6004,464.8264,2370.803,13437.07,5586.092,16825.44,938.9595,3275.146,3085.115,617.6962,7950.365,104.398,8212.48,92.0957,10383.56,89.2999,15621.26,75.95959,2896.523,57.7738,1378.006,387.8221,1232.498,200.6805,280.8754,618.5946,292.7937,915.8122,1147.748,963.4445,672.7782,778.0047,197.3148,315.8339,173.225,223.8301
6859,2020-10-02 23:37:59Z,Cl_12_11,37,213.363,438.1561,2308.314,12266.82,5267.084,14368.19,981.8611,3169.842,3043.037,586.5589,7547.358,95.95401,8277.562,96.3935,10673.93,88.14765,15961.42,74.85873,3090.898,58.2634,1400.927,381.4042,1259.137,192.2448,293.4145,646.1805,294.4573,912.485,1136.393,925.8849,667.181,844.0511,198.6172,299.5538,181.9836,249.1326
6860,2020-10-02 23:38:39Z,Cl_12_11,38,175.2624,433.3935,1931.485,12210.96,4367.344,13490.17,809.2797,3113.29,2665.182,586.5589,6781.262,99.02454,7934.966,77.36039,10567.35,86.99539,16604.33,78.16132,3297.023,62.18027,1213.892,396.9904,1196.535,178.4813,275.8597,713.0557,291.1301,939.9344,1110.188,975.6731,666.0616,830.618,192.1052,297.6002,186.8495,242.3204
6861,2020-10-02 23:39:03Z,Cl_12_11,39,205.7429,440.0611,2266.654,12690.99,5179.184,15739.03,951.635,3160.091,2968.981,592.4497,7406.114,99.02454,8069.425,92.0957,10299.45,89.2999,16003.26,77.06046,3096.773,61.20105,1391.759,390.5726,1194.759,186.029,299.266,657.0478,302.7753,929.121,1138.14,949.4688,658.2256,894.4256,190.8027,311.9267,177.1177,226.7496
6862,2020-10-02 23:39:31Z,Cl_12_11,40,206.6954,440.0611,2234.463,12547.08,4697.216,13123.76,908.7334,3118.165,2941.21,580.668,7106.738,94.41875,7768.58,72.44862,10201.51,81.23411,16394.06,78.16132,3033.124,56.79458,1245.065,390.5726,1187.655,177.1493,264.1566,662.0634,286.1393,931.6164,1146.875,902.3011,682.8531,736.5858,195.3612,282.6225,185.8763,207.2861
6863,2020-10-02 23:39:48Z,Cl_12_11,41,206.6954,457.2064,2340.505,13268.54,5244.369,15503.97,937.0095,3237.119,3053.977,615.1715,7632.565,102.0951,8099.51,98.23542,10162.91,91.60442,15744.55,77.06046,2974.861,61.20105,1361.503,396.9904,1196.535,198.9045,285.0551,616.9227,297.7845,921.6348,1178.32,953.8362,680.6142,791.4379,194.0588,328.858,176.1445,225.7764
6864,2020-10-02 23:58:43Z,Cl_12_11,42,190.5026,422.9159,2142.623,12072.73,4984.619,13455.61,886.3076,2998.235,2915.122,578.985,7421.467,97.48927,7809.102,78.58833,10210.72,84.69088,16315.9,79.26218,3225.54,60.71144,1212.059,384.1548,1185.435,173.1535,275.0238,687.9775,287.8029,910.8214,1112.809,929.3788,660.4644,794.7962,188.1979,326.9044,179.0641,225.7764
6865,2020-10-02 23:59:07Z,Cl_12_11,43,206.6954,442.9186,2282.75,12608.62,5281.899,14764.23,966.2605,3244.919,3024.523,613.4884,7669.412,103.6303,8231.514,89.02585,10515.5,87.57152,16454.61,78.16132,3239.739,61.69066,1367.004,385.9884,1225.838,174.0414,308.4614,680.454,307.7661,921.6348,1152.989,980.0405,658.2256,811.5876,192.7564,282.6225,180.0372,238.4277
6866,2020-10-03 00:00:00Z,Cl_12_11,44,223.8406,463.8739,2391.633,13052.67,5446.835,15826.93,998.4367,3220.543,3075.016,592.4497,7697.814,97.48927,7665.432,81.04422,9970.479,78.35346,15346.04,72.65701,2876.449,52.87771,1449.519,383.2379,1193.871,175.8174,291.7426,580.9774,302.7753,920.803,1160.85,915.4033,682.8531,851.8872,192.1052,295.6466,180.0372,240.374
