Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6948,2020-10-03 02:57:25Z,SO4_12_11,25,184.7876,394.3405,2137.888,11578.49,4999.434,14069.92,880.4574,2894.881,2896.608,570.5695,7548.126,98.2569,8587.617,83.50011,11193.02,89.2999,16079.21,81.46391,3347.453,63.6491,1172.635,384.1548,1282.668,184.2531,275.0238,698.0087,282.8121,913.3168,1100.58,912.7828,647.0313,829.4985,199.2684,293.693,181.9836,234.535
6949,2020-10-03 02:57:56Z,SO4_12_11,26,195.2652,397.198,2175.761,11388.19,5130.79,13605.73,874.6072,2904.632,2828.443,570.5695,7603.396,96.72164,8529.904,84.11407,10930.88,86.99539,15490.25,78.16132,3137.411,59.73223,1201.057,385.9884,1274.676,188.6929,268.3363,616.9227,281.1485,913.3168,1116.303,918.8972,660.4644,870.9175,197.3148,308.0195,180.0372,214.0983
6950,2020-10-03 02:58:12Z,SO4_12_11,27,200.0278,441.0136,2291.271,12983.55,5248.319,15639.28,935.0594,3224.444,3075.858,616.0131,7679.391,105.1656,8734.356,99.46336,11021.91,96.21345,16397.37,82.56477,3166.787,63.6491,1350.501,396.9904,1285.332,203.7883,303.4457,677.9462,303.6071,943.2616,1172.205,942.481,671.6588,836.2151,204.478,308.6707,182.9568,248.1594
6951,2020-10-03 02:58:43Z,SO4_12_11,28,204.7903,436.2511,2240.144,12181.61,5047.828,12377.1,920.4338,2994.335,2915.963,568.0449,7318.604,95.18638,7946.631,76.74642,10465.95,84.69088,16143.07,78.16132,3141.328,59.24262,1286.322,394.24,1208.078,173.5975,270.0082,672.9306,297.7845,919.9712,1111.935,951.2158,672.7782,825.0208,192.1052,284.5761,183.9299,233.5618
6952,2020-10-03 02:59:01Z,SO4_12_11,29,226.6982,458.1588,2406.781,13049.83,5500.167,14838.3,1011.112,3216.643,3074.175,594.9744,7801.445,101.3274,8407.724,95.77953,10562.16,86.99539,15984.54,78.16132,3015.498,58.75301,1466.939,403.4083,1276.008,187.3609,296.7582,633.6415,307.7661,925.7938,1163.471,942.481,685.0919,837.3346,195.3612,287.8321,181.9836,236.4813
6953,2020-10-03 02:59:20Z,SO4_12_11,30,199.0753,411.4857,2252.452,12059.47,5233.504,14512.38,904.8333,2953.384,2931.953,572.2526,7642.545,99.02454,7895.671,84.11407,10524.14,86.41927,16088.02,79.26218,3167.767,59.24262,1219.393,376.82,1207.635,186.029,268.3363,649.5243,282.8121,928.2892,1111.062,925.8849,654.8673,827.2597,194.71,302.8098,181.9836,238.4277
6954,2020-10-03 02:59:41Z,SO4_12_11,31,207.6479,430.536,2312.101,12419.26,5415.23,15265.95,972.1107,3165.941,3097.738,600.0237,7965.718,102.8627,8603.58,98.23542,10968.33,92.75668,16375.35,81.46391,3301.919,64.1387,1364.254,396.0736,1282.224,184.2531,300.102,657.8837,305.2707,926.6256,1171.332,986.1548,667.181,790.3185,198.6172,327.5556,184.9031,227.7228
6955,2020-10-03 03:00:07Z,SO4_12_11,32,202.8853,424.8209,2273.282,12529.09,5674.979,15707.43,957.4852,3210.793,3077.541,610.9638,8033.27,104.398,9915.638,97.62144,11517.38,96.21345,16596.62,82.56477,3373.402,67.07635,1349.584,393.3231,1370.576,184.6971,308.4614,701.3525,309.4297,938.2708,1159.977,973.9261,669.4199,791.4379,200.5708,326.2532,184.9031,233.5618
6956,2020-10-03 03:00:26Z,SO4_12_11,33,187.6451,394.3405,2161.559,11447.83,5184.123,13422.03,898.983,2897.807,2899.133,552.897,7543.521,95.95401,8192.22,81.65819,10872.7,86.41927,16219.02,79.26218,3233.374,61.20105,1217.56,371.319,1233.386,179.3692,279.2035,672.9306,289.4665,893.3536,1118.923,904.9215,642.5535,838.454,196.6636,301.5074,181.9836,242.3204
6957,2020-10-03 03:00:43Z,SO4_12_11,34,214.3155,459.1114,2313.048,12813.13,5211.776,14172.63,918.4838,3080.138,2983.287,570.5695,7614.91,99.02454,7764.282,78.58833,10192.29,83.53862,15980.14,79.26218,2887.221,55.81536,1262.485,392.4063,1196.979,190.9128,254.9613,633.6415,283.6439,934.1118,1135.519,960.824,682.8531,794.7962,189.5004,334.0676,181.0104,226.7496
6958,2020-10-03 03:01:05Z,SO4_12_11,35,210.5054,416.2483,2250.558,11594.59,5433.008,13462.52,921.4089,2894.881,2823.393,538.5906,7564.247,94.41875,8275.72,78.58833,10766.69,81.81023,15178.71,75.95959,3043.406,55.81536,1257.901,394.24,1276.896,177.1493,264.9926,616.0868,284.4757,916.644,1082.237,904.048,650.3896,838.454,195.3612,287.8321,181.0104,229.6691
6959,2020-10-03 03:01:21Z,SO4_12_11,36,190.5026,388.6254,2137.888,11582.28,4991.533,14404.73,897.033,2867.58,2883.985,557.9463,7330.119,98.2569,7981.014,82.88613,10589.82,85.26701,16150.77,78.16132,3148.672,59.73223,1207.474,374.0695,1216.958,184.2531,275.8597,667.915,286.9711,878.3812,1115.429,894.4398,649.2701,816.0654,194.71,296.2978,181.0104,234.535
6960,2020-10-03 03:01:51Z,SO4_12_11,37,213.363,460.0639,2318.729,13090.54,5100.173,14290.16,913.6086,3112.314,2993.386,581.5096,7597.254,100.5598,7741.565,78.58833,10252.78,82.38637,15993.35,79.26218,2852.459,54.34653,1258.817,399.741,1187.655,194.9087,252.4535,625.2821,284.4757,924.1302,1133.772,923.2645,685.0919,827.2597,191.4539,292.3906,181.0104,239.4009
6961,2020-10-03 03:02:19Z,SO4_12_11,38,214.3155,433.3935,2299.792,12480.8,5424.119,16519.27,974.0608,3211.768,3000.96,596.6575,7588.043,101.3274,8111.79,95.77953,10145.62,88.14765,15008.08,75.95959,2924.921,59.73223,1446.769,373.1527,1235.605,190.0248,296.7582,605.2195,300.2799,878.3812,1111.935,918.8972,651.509,755.6161,192.7564,311.2755,174.1982,221.8837
6962,2020-10-03 03:02:38Z,SO4_12_11,39,206.6954,448.6337,2314.941,13371.75,5498.192,17035.8,955.5352,3242.969,3016.108,613.4884,7698.582,104.398,8515.169,95.77953,10337.47,91.02829,16095.73,80.36305,2921.494,59.73223,1388.091,397.9073,1256.473,198.0165,295.0863,641.1649,303.6071,938.2708,1179.193,978.2936,669.4199,902.2616,195.3612,318.4387,174.1982,221.8837
6963,2020-10-03 03:03:07Z,SO4_12_11,40,198.1228,430.536,2227.835,12403.16,5028.075,13743.01,901.9081,3114.264,2973.189,584.0342,7543.521,99.02454,8086.617,79.81628,10588.09,87.57152,16396.26,81.46391,3120.764,60.22184,1208.391,388.7389,1230.278,187.3609,266.6644,664.5712,286.9711,913.3168,1125.038,927.6319,671.6588,848.5289,194.0588,298.2514,184.9031,243.2935
6964,2020-10-03 03:03:29Z,SO4_12_11,41,203.8378,424.8209,2215.527,12027.28,4810.794,13322.28,926.2841,3096.714,2936.161,579.8265,7195.015,94.41875,8020.922,71.22068,10564.47,81.23411,16242.14,78.16132,3161.402,59.24262,1230.395,393.3231,1201.419,167.3817,271.6801,657.0478,291.9619,914.1486,1113.682,890.0724,669.4199,765.691,189.5004,263.7376,183.9299,214.0983
6965,2020-10-03 03:17:29Z,SO4_12_11,42,195.2652,410.5332,2239.197,11928.81,5394.49,13696.59,895.0829,2981.66,2931.953,573.0941,7787.627,98.2569,8485.084,80.43024,10984.46,85.84313,16294.98,81.46391,3143.286,59.24262,1193.722,374.0695,1285.332,179.8132,267.5004,674.6025,279.4849,904.9988,1109.315,905.795,657.1061,830.618,198.6172,293.693,180.0372,241.3472
6966,2020-10-03 03:18:15Z,SO4_12_11,44,217.173,471.494,2395.42,13519.45,5763.867,16339.52,966.2605,3308.297,3074.175,613.4884,7864.391,105.1656,8908.11,88.41187,10710.8,87.57152,15767.67,80.36305,2866.657,56.79458,1339.499,396.9904,1326.178,194.0207,269.1722,611.9071,291.1301,918.3076,1159.977,946.8484,688.4502,783.6019,199.9196,314.5315,180.0372,225.7764
6967,2020-10-03 03:18:37Z,SO4_12_11,45,199.0753,412.4382,2235.41,11974.26,5288.813,14198.31,885.3325,2898.781,2892.4,554.5801,7554.267,97.48927,8355.536,76.74642,10789.16,82.96249,15449.52,77.06046,2916.108,55.81536,1227.645,395.1568,1273.788,182.0331,252.4535,632.8055,270.3351,874.2222,1080.49,891.8194,666.0616,840.6929,197.3148,295.6466,177.1177,236.4813
6968,2020-10-03 03:18:57Z,SO4_12_11,46,189.5501,385.7679,2132.208,11067.22,5018.199,13571.16,896.0579,2864.655,2845.273,551.2139,7383.085,95.18638,8147.4,81.65819,10629.57,87.57152,16007.66,79.26218,3310.732,63.6491,1188.221,385.0716,1221.398,178.0373,274.1879,689.6494,281.9803,907.4942,1089.225,928.5054,644.7924,775.7659,192.1052,316.4851,180.0372,222.8569
